source,target,country,forecast_year,horizon,target_year,prediction,tv_oecd
IMF,ngdp_rpch,GBR,2013,0,2013,1.43320728385932,1.78078308225
IMF,ngdp_rpch,ITA,2013,0,2013,-1.77603107346823,-1.87086957375
IMF,ngdp_rpch,JPN,2013,0,2013,1.95300757753125,2.040001849
IMF,ngdp_rpch,USA,2013,0,2013,1.56016097568472,2.1012482385
IMF,pcpi_pch,CAN,2013,0,2013,1.14597712094762,0.933856509034104
IMF,pcpi_pch,DEU,2013,0,2013,1.60632172380881,1.49370078053419
IMF,pcpi_pch,FRA,2013,0,2013,1.00990091738737,0.860382488154344
IMF,pcpi_pch,GBR,2013,0,2013,2.69969512195123,2.26679177247231
IMF,pcpi_pch,ITA,2013,0,2013,1.61639382443479,1.21414077819697
IMF,pcpi_pch,JPN,2013,0,2013,0.0450417043430518,0.33337457909346
IMF,pcpi_pch,USA,2013,0,2013,1.39191682738407,1.45461045669582
IMF,ngdp_rpch,CAN,2014,0,2014,2.2716207497665,2.844795146
IMF,ngdp_rpch,DEU,2014,0,2014,1.39289366623585,2.19183070975
IMF,ngdp_rpch,FRA,2014,0,2014,0.370774974848165,0.96294831225
IMF,ngdp_rpch,GBR,2014,0,2014,3.20524782878371,3.15812283675
IMF,ngdp_rpch,ITA,2014,0,2014,-0.1743219071627,0.08828915225
IMF,ngdp_rpch,JPN,2014,0,2014,0.891077246654226,0.234948183
IMF,ngdp_rpch,USA,2014,0,2014,2.15432142602405,2.50432678325
IMF,pcpi_pch,CAN,2014,0,2014,1.93595035364857,1.88749300214466
